Filename,MSE,PSNR (dB),Compression Ratio
breast_image_268_gray.png,74.71,29.40,0.66
breast_image_269_color.png,233.31,24.45,1.39
breast_image_26_gray.png,73.54,29.47,0.66
breast_image_270_gray.png,75.22,29.37,0.66
breast_image_271_color.png,230.20,24.51,1.37
breast_image_272_gray.png,73.81,29.45,0.66
breast_image_273_color.png,235.97,24.40,1.39
breast_image_274_gray.png,74.93,29.38,0.66
breast_image_275_color.png,229.98,24.51,1.37
breast_image_276_gray.png,74.55,29.41,0.66
breast_image_277_color.png,235.36,24.41,1.39
breast_image_278_gray.png,73.63,29.46,0.66
breast_image_279_color.png,234.66,24.43,1.39
breast_image_27_color.png,234.10,24.44,1.39
breast_image_280_gray.png,75.29,29.36,0.66
breast_image_281_color.png,233.40,24.45,1.39
breast_image_282_gray.png,75.03,29.38,0.66
breast_image_283_color.png,234.58,24.43,1.39
breast_image_284_gray.png,75.81,29.33,0.66
breast_image_285_color.png,233.24,24.45,1.38
breast_image_286_gray.png,74.73,29.40,0.66
breast_image_287_color.png,232.15,24.47,1.39
breast_image_288_gray.png,75.01,29.38,0.66
breast_image_289_color.png,230.53,24.50,1.37
breast_image_28_gray.png,73.08,29.49,0.66
breast_image_290_gray.png,74.40,29.42,0.66
breast_image_291_color.png,232.91,24.46,1.38
breast_image_292_gray.png,74.43,29.41,0.66
breast_image_293_color.png,229.83,24.52,1.37
breast_image_294_gray.png,76.05,29.32,0.66
breast_image_295_color.png,233.63,24.45,1.39
breast_image_296_gray.png,75.16,29.37,0.66
breast_image_297_color.png,234.64,24.43,1.39
breast_image_298_gray.png,74.81,29.39,0.66
breast_image_299_color.png,228.97,24.53,1.36
breast_image_29_color.png,227.61,24.56,1.37
breast_image_2_gray.png,73.91,29.44,0.65
breast_image_300_gray.png,72.96,29.50,0.66
breast_image_301_color.png,234.85,24.42,1.39
breast_image_302_gray.png,74.19,29.43,0.66
breast_image_303_color.png,233.34,24.45,1.39
breast_image_304_gray.png,74.39,29.42,0.66
breast_image_305_color.png,230.12,24.51,1.37
breast_image_306_gray.png,74.40,29.42,0.66
breast_image_307_color.png,233.24,24.45,1.38
breast_image_308_gray.png,75.17,29.37,0.66
breast_image_309_color.png,234.43,24.43,1.39
breast_image_30_gray.png,73.37,29.48,0.65
breast_image_310_gray.png,75.20,29.37,0.66
breast_image_311_color.png,234.02,24.44,1.39
breast_image_312_gray.png,75.09,29.37,0.66
breast_image_313_color.png,230.40,24.51,1.37
breast_image_314_gray.png,72.76,29.51,0.66
breast_image_315_color.png,233.59,24.45,1.39
breast_image_316_gray.png,76.03,29.32,0.66
breast_image_317_color.png,236.60,24.39,1.39
breast_image_318_gray.png,74.83,29.39,0.66
breast_image_319_color.png,228.88,24.53,1.37
breast_image_31_color.png,234.05,24.44,1.38
breast_image_320_gray.png,73.12,29.49,0.65
breast_image_321_color.png,230.44,24.51,1.37
breast_image_322_gray.png,75.22,29.37,0.66
breast_image_323_color.png,228.54,24.54,1.37
breast_image_324_gray.png,75.33,29.36,0.66
breast_image_325_color.png,229.55,24.52,1.37
breast_image_326_gray.png,73.09,29.49,0.66
breast_image_327_color.png,228.91,24.53,1.37
breast_image_328_gray.png,73.44,29.47,0.65
breast_image_329_color.png,229.01,24.53,1.37
breast_image_32_gray.png,74.70,29.40,0.66
breast_image_330_gray.png,75.53,29.35,0.66
breast_image_331_color.png,235.20,24.42,1.38
breast_image_332_gray.png,73.49,29.47,0.66
breast_image_333_color.png,233.84,24.44,1.39
breast_image_334_gray.png,74.39,29.42,0.66
breast_image_335_color.png,232.91,24.46,1.39
breast_image_336_gray.png,73.41,29.47,0.66
breast_image_337_color.png,235.14,24.42,1.39
breast_image_338_gray.png,75.05,29.38,0.66
breast_image_339_color.png,233.85,24.44,1.39
breast_image_33_color.png,234.80,24.42,1.39
breast_image_340_gray.png,73.76,29.45,0.65
breast_image_341_color.png,235.20,24.42,1.39
breast_image_342_gray.png,74.72,29.40,0.66
breast_image_343_color.png,234.07,24.44,1.39
breast_image_344_gray.png,74.45,29.41,0.66
breast_image_345_color.png,235.78,24.41,1.39
breast_image_346_gray.png,75.89,29.33,0.66
breast_image_347_color.png,233.82,24.44,1.39
breast_image_348_gray.png,75.09,29.38,0.66
breast_image_349_color.png,229.64,24.52,1.37
breast_image_34_gray.png,73.14,29.49,0.66
breast_image_350_gray.png,74.72,29.40,0.66
breast_image_351_color.png,233.64,24.45,1.39
breast_image_352_gray.png,75.56,29.35,0.66
breast_image_353_color.png,233.50,24.45,1.38
breast_image_354_gray.png,74.76,29.39,0.66
breast_image_355_color.png,235.38,24.41,1.39
breast_image_356_gray.png,75.51,29.35,0.66
breast_image_357_color.png,234.85,24.42,1.39
breast_image_358_gray.png,72.46,29.53,0.66
